origin,destination,count
CHS,ATL,298
CHS,CLT,88
CHS,DFW,62
CHS,DTW,57
CHS,EWR,91
CHS,IAH,75
CHS,LGA,31
CHS,MEM,31
CHS,MIA,31
CHS,ORD,92
